Unnamed: 0,Mystery_Allocation
2/14/2023,104.7927536
2/15/2023,104.5233642
2/16/2023,104.6038667
2/17/2023,104.2659246
2/20/2023,104.3675031
2/21/2023,103.7515915
2/22/2023,102.8976693
2/23/2023,103.0441187
2/24/2023,101.8650423
2/27/2023,102.3646584
2/28/2023,102.4937983
3/1/2023,103.4743
3/2/2023,103.5050282
3/3/2023,105.2574562
3/6/2023,105.1524375
3/7/2023,104.0224758
3/8/2023,103.8843628
3/9/2023,103.2902702
3/10/2023,103.1689764
3/13/2023,103.5996144
3/14/2023,103.7904008
3/15/2023,102.890877
3/16/2023,103.0975847
3/17/2023,103.8521558
3/20/2023,104.3512376
3/21/2023,104.3357423
3/22/2023,104.7733602
3/23/2023,105.4352903
3/24/2023,104.8909432
3/27/2023,105.441925
3/28/2023,105.902129
3/29/2023,106.0193944
